客人CUS,款号STYLE,参阅号REF,数量QTY,全码单（拉链罗文）,全码单实际,面料预计最晚,面料实际,辅料预计最晚,辅料实际,物料到位时间,物料全实际,进仓期,进仓期实际,IHD到客人仓库,IHD实际,工厂,产品类型,订单状态
Q4,OLA1363LL,,3400,,,2020-03-15,,2020-03-20,,4/10,,7/25,,2020-08-25,,旭悦,毛棉服,操作中
Q4,OPA1363LL,,2052,,,2020-03-15,,2020-03-20,,4/10,,7/25,,2020-08-25,,旭悦,毛棉服,操作中
Q4,OLA1416DL,,288,,,2020-03-15,,2020-03-20,,4/10,,7/25,,2020-08-25,,旭悦,毛棉服,操作中
Q4,OLA1416DL,,156,,,2020-03-15,,2020-03-20,,4/10,,7/25,,2020-08-25,,旭悦,毛棉服,操作中
Q4,OLA1362LL,,2760,,,2020-03-20,,2020-03-20,,6/15,,7/25,,2020-08-25,,杰达,毛外套,操作中
Q4,OPA1362LL,,780,,,2020-03-20,,2020-03-20,,6/15,,7/25,,2020-08-25,,杰达,毛外套,操作中
Q4,OLA1171LL,,2400,,,2020-03-20,,2020-03-20,,6/20,,7/25,,2020-08-25,,琴梓墨,毛外套,操作中
Q4,OPA1171LL,,600,,,2020-03-20,,2020-03-20,,6/20,,7/25,,2020-08-25,,琴梓墨,毛外套,操作中
Q4,OLA1371LL,,960,,,2020-03-30,,2020-03-30,,6/15,,7/25,,2020-08-25,,旭悦,毛外套,操作中
Q4,OPA1371LL,,240,,,2020-03-30,,2020-03-30,,6/15,,7/25,,2020-08-25,,旭悦,毛外套,操作中
Q4,OLA1368LL,,2000,,,2020-03-10,,2020-03-10,,6/10,,7/25,,2020-08-25,,旭悦,毛外套,操作中
Q4,OPA1368LL,,1400,,,2020-03-10,,2020-03-10,,6/10,,7/25,,2020-08-25,,旭悦,毛外套,操作中
Q4,OLA1367LL,,1200,,,2020-03-20,,2020-03-20,,6/20,,7/25,,2020-08-25,,联权,毛外套,操作中
Q4,OPA1367LL,,360,,,2020-03-20,,2020-03-20,,6/20,,7/25,,2020-08-25,,联权,毛呢大衣,操作中
Q4,OLJ471G,,956,,,2020-03-25,,2020-04-20,,4/30,,7/25,,2020-08-25,,美罗涵,毛呢大衣,操作中
Q4,OLJ471G,,5580,,,2020-03-25,,2020-04-20,,4/30,,7/25,,2020-08-25,,美罗涵,毛呢大衣,操作中
Q4,OPJ471G,,360,,,2020-03-25,,2020-04-20,,4/30,,7/25,,2020-08-25,,美罗涵,毛呢大衣,操作中
Q4,OLJ478G,,310,,,2020-03-15,,2020-04-10,,6/18,,7/25,,2020-08-25,,苏徽,毛外套,操作中
RC,,"SMS26264(5""longer)",6000,2020-03-20,,2020-04-08,,2020-04-10,,4/30,,6/1,,2020-07-01,,悦成,针织外套,已出货
RC,,SMS26264,1200,2020-03-20,,2020-04-08,,2020-04-10,,4/30,,6/1,,2020-07-01,,悦成,针织外套,已出货
RC,,SMS26513,2400,2020-04-28,,2020-05-18,,2020-05-18,,6/5,,7/3,,2020-07-31,,悦成,仿皮裙,已出货
RC,,SMS26381(MISSY),9600,2020-04-15,,2020-04-18,,2020-04-20,,5/5,,6/26,,2020-07-24,,杰达新疆,仿皮外套,已出货
RC,,SMS26381(PETITE),1200,2020-04-15,,2020-04-18,,2020-04-20,,5/5,,6/26,,2020-07-24,,杰达新疆,仿皮外套,已出货
RC,,SMS26382,1800,2020-04-27,,2020-04-27,,2020-04-27,,5/25,,7/3,,2020-07-30,,芮影,仿皮外套,已出货
RC,,SMS26617,1800,2020-05-18,,2020-05-18,,2020-05-18,,5/25,,7/3,,2020-07-31,,杰达,仿皮外套,已出货
RC,,SMS26602,1200,2020-05-18,,2020-05-18,,2020-05-18,,5/25,,7/6,,2020-08-20,,旭悦,仿皮外套,已出货
RC,,SMS26598,1200,2020-05-18,,2020-05-18,,2020-05-18,,5/30,,7/1,,2020-07-31,,旭悦,仿皮裙,取消
RC,,SMS26600,2400,2020-05-20,,2020-05-20,,2020-05-20,,6/5,,7/1,,2020-07-31,,旭悦,仿皮裙,取消
RC,,SMS26368,1600,2020-04-27,,2020-04-27,,2020-04-27,,5/22,,6/21,,2020-07-20,,芮影,仿皮外套,已出货
RC,,SMS26409,1200,2020-05-05,,2020-05-05,,2020-05-05,,5/22,,6/21,,2020-07-20,,芮影,仿皮外套,已出货
RC,,SMS26369A,1200,2020-05-05,,2020-05-05,,2020-05-05,,5/22,,6/21,,2020-07-20,,芮影,仿皮外套,已出货
RC,,SMS26516,1200,2020-05-05,,2020-05-07,,2020-05-07,,5/25,,6/21,,2020-07-20,,悦成,仿皮裙,已出货
RC,,SMS26507,1600,2020-05-05,,2020-05-05,,2020-05-05,,5/21,,6/21,,2020-07-20,,蕊思,仿皮裙,已出货
RC,,SMS26519,1800,2020-05-05,,2020-05-05,,2020-05-05,,5/21,,6/21,,2020-07-20,,悦成,梭织裤子,已出货
RC,,SMS26174(petite),600,2020-04-15,,2020-04-15,,2020-04-15,,5/5,,6/1,,2020-07-01,,江阴名流,针织外套,已出货
RC,,SMS26174(missy),4800,2020-04-15,,2020-04-15,,2020-04-15,,5/5,,6/1,,2020-07-01,,江阴名流,针织外套,已出货
RC,,SMS26174(women),1800,2020-04-15,,2020-04-15,,2020-04-15,,5/5,,6/1,,2020-07-01,,江阴名流,针织外套,已出货
RC,,SMS26174(missy),10800,2020-06-25,,2020-06-25,,2020-06-25,,7/20,,9/6,,2020-10-20,,江阴名流,针织外套,操作中
RC,,SMS26536(DL1223),3600,2020-05-15,,2020-05-15,,2020-05-15,,6/10,,7/3,,2020-07-31,,苏徽,毛外套,已出货
RC,,SMS26419,1800,2020-05-15,,2020-05-20,,2020-05-20,,6/10,,7/3,,2020-07-31,,苏徽,毛外套,已出货
RC,,DL1222,1200,2020-05-25,,2020-05-25,,2020-05-25,,6/15,,7/18,,2020-09-01,,蕊思,毛外套,操作中
RC,,SMS26525,1800,2020-05-20,,2020-05-20,,2020-05-20,,6/20,,7/14,,2020-08-14,,芮影,仿皮外套,操作中
RC,,DL1281,10638,2020-05-20,,2020-05-20,,2020-05-20,,6/30,,8/2,,2020-08-31,,芮影,仿皮外套,操作中
TWISTED SISTER,GINNY,,1200,2020-03-25,,2020-03-25,,2020-03-25,,5/30,,6/30,,,,苏徽,毛外套,操作中
TWISTED SISTER,GINNY,,600,2020-03-25,,2020-03-25,,2020-03-25,,5/30,,6/30,,,,苏徽,毛外套,操作中
TWISTED SISTER,GINNY,,800,2020-03-25,,2020-03-25,,2020-03-25,,5/30,,6/30,,,,苏徽,毛外套,操作中
TWISTED SISTER,BAMBI,,1200,2020-04-10,,2020-04-10,,2020-04-10,,5/15,,6/15,,,,格麻丝,毛外套,操作中
TWISTED SISTER,PLUTO MAC,,400,2020-04-20,,2020-04-20,,2020-04-20,,5/20,,6/15,,,,苏徽外发厂,毛外套,操作中
TWISTED SISTER,PLUTON MAC,,300,2020-04-20,,2020-04-20,,2020-04-20,,5/20,,6/15,,,,苏徽外发厂,毛外套,操作中
TWISTED SISTER,PLUTON MAC,,300,2020-04-20,,2020-04-20,,2020-04-20,,5/20,,6/15,,,,苏徽外发厂,毛外套,操作中
TWISTED SISTER,SUFFOLK,,900,,,,,2020-05-26,,6/15,,7/22,,,,芮影,梭织外套,操作中
TWISTED SISTER,SUFFOLK,,300,,,,,2020-05-26,,6/15,,8/25,,,,芮影,梭织外套,操作中
,OLA1244H,,2250,,,2020-03-25,,2020-03-25,,6/15,,7/15,,,,琴梓墨,化纤外套,操作中
